DEBUG:root:Initialization
INFO:absl:Creating mfg_crowd_modelling_2d game with parameters: {'forbidden_states': '[0|0;1|0;2|0;3|0;4|0;5|0;6|0;7|0;8|0;9|0;10|0;11|0;12|0;0|1;6|1;12|1;0|2;6|2;12|2;0|3;12|3;0|4;6|4;12|4;0|5;6|5;12|5;0|6;1|6;2|6;4|6;5|6;6|6;7|6;8|6;10|6;11|6;12|6;0|7;6|7;12|7;0|8;6|8;12|8;0|9;12|9;0|10;6|10;12|10;0|11;6|11;12|11;0|12;1|12;2|12;3|12;4|12;5|12;6|12;7|12;8|12;9|12;10|12;11|12;12|12]', 'horizon': 40, 'initial_distribution': '[1|1]', 'initial_distribution_value': '[1.0]', 'size': 13, 'only_distribution_reward': True}
INFO:absl:Using game instance: mfg_crowd_modelling_2d
DEBUG:root:ppo_br: 171.14785708736898, and nash_conv: 20.67787949419136, reward: 163.1447403269801, entropy: 1.2097897808099616
DEBUG:root:ppo_br: 171.48602992865747, and nash_conv: 17.99899126838511, reward: 163.19831823316673, entropy: 1.2087882385415547
DEBUG:root:ppo_br: 171.21636686357851, and nash_conv: 18.466046827892825, reward: 163.26097336832683, entropy: 1.2069990507761637
DEBUG:root:ppo_br: 170.83010587650264, and nash_conv: 22.36752634364234, reward: 163.31136532642805, entropy: 1.2046704856098676
DEBUG:root:ppo_br: 171.2385695951543, and nash_conv: 18.703578874066437, reward: 163.33681510679182, entropy: 1.2026214232367853
DEBUG:root:ppo_br: 170.07196328807427, and nash_conv: 25.728923452526402, reward: 163.39474404955666, entropy: 1.2007769126740713
DEBUG:root:ppo_br: 171.14393746281272, and nash_conv: 20.086399140696585, reward: 163.44419927597045, entropy: 1.199060007277876
DEBUG:root:ppo_br: 170.97294011405825, and nash_conv: 18.44890897847452, reward: 163.48801238544172, entropy: 1.1970485259936405
DEBUG:root:ppo_br: 170.4005338801463, and nash_conv: 29.142843899327204, reward: 163.52203344171699, entropy: 1.1945603527354471
DEBUG:root:ppo_br: 171.25079885317567, and nash_conv: 20.85229944475438, reward: 163.60392800402286, entropy: 1.1920980110097288
DEBUG:root:ppo_br: 171.44719771721478, and nash_conv: 17.908824450850688, reward: 163.6474537748449, entropy: 1.1898280926048757
DEBUG:root:ppo_br: 171.16024404977375, and nash_conv: 23.18037796861671, reward: 163.6875107563406, entropy: 1.1872204388829246
DEBUG:root:ppo_br: 170.65168092085844, and nash_conv: 22.58078794846378, reward: 163.73079093715123, entropy: 1.1847223988175393
DEBUG:root:ppo_br: 171.17558963904088, and nash_conv: 21.483162307681, reward: 163.77201670472053, entropy: 1.183009025370571
DEBUG:root:ppo_br: 171.00591366054672, and nash_conv: 22.460883941046404, reward: 163.7984117804633, entropy: 1.18047182324032
DEBUG:root:ppo_br: 171.00116702382985, and nash_conv: 18.490995368084242, reward: 163.8240908688062, entropy: 1.1780380096745817
DEBUG:root:ppo_br: 169.88337599199556, and nash_conv: 26.80762169218383, reward: 163.8464584268106, entropy: 1.1762216065381024
DEBUG:root:ppo_br: 170.4002535482792, and nash_conv: 27.508319888700527, reward: 163.85195526529947, entropy: 1.1743802962303163
DEBUG:root:ppo_br: 170.69735864544504, and nash_conv: 21.72680502710773, reward: 163.8891909950658, entropy: 1.1718263504928663
DEBUG:root:ppo_br: 170.49418293191147, and nash_conv: 24.059798199282852, reward: 163.92085958901936, entropy: 1.1695800967030712
DEBUG:root:ppo_br: 170.90890554828286, and nash_conv: 18.347236490921517, reward: 163.93988611465846, entropy: 1.1674231993846405
